,Date,SMB,HML,Return_of_INDUSTRIAL AND COMM
0,02/28/2013,1.2654202769313414,1.311711793560967,-1.8961508558735236
1,03/28/2013,0.6113002015699998,4.883150966928813,-4.8637036537251515
2,04/28/2013,-1.4452213526441113,3.4048768742145827,1.039593529112273
3,05/28/2013,4.854282622825389,0.784892735803151,3.363633485938062
4,06/28/2013,-1.28488866152016,9.406113324865956,-4.162359776959167
5,07/28/2013,4.288952974592103,0.6031306179082399,-2.7644036735986406
6,08/28/2013,4.895836400323084,1.0726591763745263,-0.7447283075283686
7,09/28/2013,-1.4370844777156786,-1.4364048984788507,-0.4995847193371778
8,10/28/2013,1.4054883548360493,3.1201592272954217,-2.621714638883868
9,11/28/2013,-1.1204369077968623,-3.8506127569307402,1.0230268250815042
10,12/28/2013,1.357494276767171,2.628749597828885,-5.940611089774101
11,01/28/2014,4.172056105629888,5.13538879803652,-5.4567396341974765
12,02/28/2014,3.082775161389307,0.34979836848094115,-1.5325970478226933
13,03/28/2014,-0.14696225782364758,-3.1131754527081856,3.509131981127019
14,04/28/2014,-1.9396839511377904,3.8388235360315637,0.0
15,05/28/2014,1.7946212476802366,-1.6980871109574207,3.2098124676530575
16,06/28/2014,1.3192453804926116,-1.4922993855813642,-5.186347400957389
17,07/28/2014,-1.0448922794596074,-2.2495444996520266,5.995340577154554
18,08/28/2014,3.324910845125338,-1.5537366611280274,-4.579554776744738
19,09/28/2014,-1.0474512417309452,-8.294841136415084,3.1367885420926584
20,10/28/2014,3.8571716443560367,0.735554508652285,-0.8207980417829509
21,11/28/2014,-8.791532419264596,-2.284271480455402,13.752979859121789
22,12/28/2014,-18.135179680226635,-5.856537141052412,13.422947293210369
23,01/28/2015,3.236243083497589,1.146627355145954,1.523575177742086
24,02/28/2015,1.8713864575069359,3.1643823558683253,-2.364505150849228
25,03/28/2015,2.891763615878391,1.144911694856857,2.7760283653598936
26,04/28/2015,-10.39519645895936,-8.32354458928318,18.049465516686027
27,05/28/2015,15.73109350687766,8.962346435955602,-10.092591858996066
28,06/28/2015,0.6260074050331603,1.0988179149951858,-2.366595899575332
29,07/28/2015,-1.2557168883315697,13.74589967164129,-3.022569122924811
30,08/28/2015,2.032608703317406,-2.8657545675746157,-13.324552859856343
31,09/28/2015,-3.642173837059116,3.0492616639828265,3.5196444647109413
32,10/28/2015,3.233013363608606,-0.7896175938195604,5.0925309102809155
33,11/28/2015,6.201139405338351,3.9354539069863237,-0.6313595156852324
34,12/28/2015,0.8858652131213132,1.488218233320712,0.21089638748205786
35,01/28/2016,-5.46865776628287,6.358876895161451,-12.474188338167364
36,02/28/2016,1.7195525652607628,-2.168543987195598,-0.7987262910211026
37,03/28/2016,-0.06552539720491257,0.3411308981331347,6.744128079553269
38,04/28/2016,0.825974906670482,2.948813693238997,-0.45078964391898174
39,05/28/2016,-0.38906793704666676,4.008694308060319,0.22564883587323886
40,06/28/2016,4.222371764388731,-1.0733078860233647,2.960986116720268
41,07/28/2016,-1.59474012422795,2.6557611435576685,-2.9609861167202727
42,08/28/2016,1.6642803952304002,0.9236700430490667,4.768046492720606
43,09/28/2016,1.70124031507379,3.1333696441616823,-1.5884810540023102
44,10/28/2016,-0.38026477877299625,-0.8933762836182142,0.2906978791309311
45,11/28/2016,-2.736486344861852,-3.0567038365582295,2.4373966479583364
46,12/28/2016,0.45864917711006914,0.2162995218946664,-4.046794955284643
47,01/28/2017,-4.592527629353275,0.5359333798996402,5.103514897649553
48,02/28/2017,2.735450051311225,4.2196636055745,1.9431562128756452
49,03/28/2017,-0.8104506582074132,3.3490049219669102,1.297389314368898
50,04/28/2017,-2.95776294871903,4.203239537080108,2.6775361248112266
51,05/28/2017,-4.86632218563926,4.768645048706319,6.952113351719726
52,06/28/2017,-0.43988509717733004,4.392956345628887,-3.129166445631341
53,07/28/2017,-1.9501493550973223,-0.7868354450258659,9.050178192939807
54,08/28/2017,0.6998185088747295,-0.5009691115460808,8.618835159883274
55,09/28/2017,1.8078008729790167,4.671894012612805,0.0
56,10/28/2017,-0.469002947267652,5.864249125743603,2.2650428435318544
57,11/28/2017,-2.910360814345581,3.854989258056448,-4.419137980670168
58,12/28/2017,0.07382153339151509,3.076803009688775,3.6348202345675733
59,01/28/2018,-3.8529792789715622,3.1285046154286063,18.27589064619798
60,02/28/2018,1.2852990222475782,4.693525472503664,-10.017551627723797
61,03/28/2018,1.4505917687260919,0.7186384832542405,-10.918070270400749
62,04/28/2018,-0.053799238626273116,2.6889632761403037,0.32292816007152114
63,05/28/2018,1.2095878750710471,7.441323156978536,-4.057574148282274
64,06/28/2018,-1.258952257188481,4.776392085961817,-10.244243703421908
65,07/28/2018,1.496149538902416,1.4593108764522986,6.364692725764039
66,08/28/2018,-1.4219727775042443,-1.31270750195847,-0.5834322267258311
67,09/28/2018,-2.885394818621214,0.4131607431239803,4.630721571920975
68,10/28/2018,-2.7353155510795517,-4.3482992458505905,-1.4064929467403553
69,11/28/2018,3.9409402892872865,-3.795967731583472,-6.133308801680828
70,12/28/2018,-1.2526058501644708,3.737104185983765,-1.1511790260498096
