,Date,Momentum_Factor
0,02/28/2014,2.5548357592209467
1,03/28/2014,-5.608137626894372
2,04/28/2014,-1.9558668334099916
3,05/28/2014,0.7277269299528388
4,06/28/2014,1.8420212384160584
5,07/28/2014,-5.157732079712627
6,08/28/2014,0.14778804329108747
7,09/28/2014,-0.02156348249417306
8,10/28/2014,1.4912997802674486
9,11/28/2014,-5.07698488871749
10,12/28/2014,3.090873908225607
11,01/28/2015,-7.018553616210173
12,02/28/2015,-1.0698604867759656
13,03/28/2015,0.45502868724290924
14,04/28/2015,5.511268178789804
15,05/28/2015,-1.2115822314556461
16,06/28/2015,-3.418775618622689
17,07/28/2015,-6.626131165285764
18,08/28/2015,-8.037453870126207
19,09/28/2015,-2.299635621139848
20,10/28/2015,-2.7013515778020096
21,11/28/2015,-2.855053137130623
22,12/28/2015,-1.983814086675479
23,01/28/2016,-5.074993775516614
24,02/28/2016,-4.066432881869854
25,03/28/2016,-5.001819061211368
26,04/28/2016,1.5286904533246792
27,05/28/2016,0.2187573534658518
28,06/28/2016,0.5279697088361537
29,07/28/2016,-1.1629769060156878
30,08/28/2016,-2.0919475379773758
31,09/28/2016,-0.5663513437377743
32,10/28/2016,0.4296941913103378
33,11/28/2016,-0.7737419239457637
34,12/28/2016,-4.038118165292559
35,01/28/2017,1.909104875543709
36,02/28/2017,0.6226286908086263
37,03/28/2017,2.3021171204666984
38,04/28/2017,2.003885214715794
39,05/28/2017,-0.42541097425646335
40,06/28/2017,0.4713324425433858
41,07/28/2017,2.40272653284216
42,08/28/2017,-0.43007175268446673
43,09/28/2017,0.4922869258462099
44,10/28/2017,2.2141959566532017
45,11/28/2017,3.156591380589666
46,12/28/2017,6.619645743864443
47,01/28/2018,0.17455530568239208
48,02/28/2018,3.51268208194761
49,03/28/2018,-4.254468797382818
50,04/28/2018,2.54277740475436
51,05/28/2018,2.825064475131028
52,06/28/2018,4.582479538753424
53,07/28/2018,-0.23471077429076237
54,08/28/2018,-1.6314758347428755
55,09/28/2018,-0.6051676616409531
56,10/28/2018,-6.130105506241853
57,11/28/2018,-9.830377508893662
58,12/28/2018,1.6606970723542773
